"-------------------------------------------------------------------------------------------"
" Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                "
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      "
"                                                                                           "
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker"
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            "
"                                                                                           "
" Baseline data in this file through 06-Feb-2020 from archive dated 06-Feb-2020 08:55:31    "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"                                                                        "
" The data file below contains 2 columns indicaing the date and CO2      "
" concentrations in micro-mol CO2 per mole (ppm), reported on the 2008A  "
" SIO manometric mole fraction scale.  These weekly values have been     "
" adjusted to 12:00 hours at middle day of each weekly period as         "
1998-08-01, 366.88
1998-08-08, 366.46
1998-08-15, 365.64
1998-08-22, 365.63
1998-08-29, 364.25
1998-09-05, 364.74
1998-09-12, 363.96
1998-09-19, 363.50
1998-09-26, 363.60
1998-10-03, 364.01
1998-10-10, 364.17
1998-10-17, 364.46
1998-10-24, 364.49
1998-10-31, 364.70
1998-11-07, 365.05
1998-11-14, 365.48
1998-11-21, 365.80
1998-11-28, 366.00
1998-12-05, 366.46
1998-12-12, 366.74
1998-12-19, 367.30
1998-12-26, 367.38
1999-01-02, 367.58
1999-01-09, 367.87
1999-01-16, 367.80
1999-01-23, 368.33
1999-01-30, 369.25
1999-02-06, 369.19
1999-02-13, 368.90
1999-02-20, 369.05
1999-02-27, 368.52
1999-03-06, 368.13
1999-03-13, 369.58
1999-03-20, 370.27
1999-03-27, 370.65
1999-04-03, 371.11
1999-04-10, 371.59
1999-04-17, 371.07
1999-04-24, 370.32
1999-05-01, 370.82
1999-05-08, 371.33
1999-05-15, 371.09
1999-05-22, 370.89
1999-05-29, 370.41
1999-06-05, 370.98
1999-06-12, 370.33
1999-06-19, 369.97
1999-06-26, 369.97
1999-07-03, 369.49
1999-07-10, 370.15
1999-07-17, 369.54
1999-07-24, 368.66
1999-07-31, 367.48
1999-08-07, 367.65
1999-08-14, 366.77
1999-08-21, 366.44
1999-08-28, 366.16
1999-09-04, 364.22
1999-09-11, 364.75
1999-09-18, 365.25
1999-09-25, 364.74
1999-10-02, 364.62
1999-10-09, 365.11
1999-10-16, 364.94
1999-10-23, 365.70
1999-10-30, 365.81
1999-11-06, 366.24
1999-11-13, 366.75
1999-11-20, 366.74
1999-11-27, 367.20
1999-12-04, 367.47
1999-12-11, 368.10
1999-12-18, 368.05
1999-12-25, 368.27
2000-01-01, 368.74
2000-01-08, 368.63
2000-01-15, 369.12
2000-01-22, 369.93
2000-01-29, 369.35
2000-02-05, 369.18
2000-02-12, 369.66
2000-02-19, 369.45
2000-02-26, 369.61
2000-03-04, 370.11
2000-03-11, 370.09
2000-03-18, 370.98
2000-03-25, 370.86
2000-04-01, 371.04
2000-04-08, 371.81
2000-04-15, 371.91
2000-04-22, 372.10
2000-04-29, 371.37
2000-05-06, 371.36
2000-05-13, 371.83
2000-05-20, 372.01
2000-05-27, 371.91
2000-06-03, 371.98
2000-06-10, 371.71
2000-06-17, 371.82
2000-06-24, 371.41
2000-07-01, 370.96
2000-07-08, 370.17
2000-07-15, 370.29
2000-07-22, 369.85
2000-07-29, 369.10
2000-08-05, 368.86
2000-08-12, 368.46
2000-08-19, 367.78
2000-08-26, 367.25
2000-09-02, 367.28
2000-09-09, 366.84
2000-09-16, 366.35
2000-09-23, 366.34
2000-09-30, 366.54
2000-10-07, 366.42
2000-10-14, 366.75
2000-10-21, 366.79
2000-10-28, 367.46
2000-11-04, 367.78
2000-11-11, 368.10
2000-11-18, 368.76
2000-11-25, 368.42
2000-12-02, 369.10
2000-12-09, 369.74
2000-12-16, 369.41
2000-12-23, 369.64
2000-12-30, 369.91
2001-01-06, 369.95
2001-01-13, 370.35
2001-01-20, 370.10
2001-01-27, 370.91
2001-02-03, 371.45
2001-02-10, 371.29
2001-02-17, 371.82
2001-02-24, 371.33
2001-03-03, 372.34
2001-03-10, 372.32
2001-03-17, 372.23
2001-03-24, 371.97
2001-03-31, 372.18
2001-04-07, 372.82
2001-04-14, 372.84
2001-04-21, 373.17
2001-04-28, 372.91
2001-05-05, 373.83
2001-05-12, 374.08
2001-05-19, 373.85
2001-05-26, 374.05
2001-06-02, 374.00
2001-06-09, 373.27
2001-06-16, 372.98
2001-06-23, 373.04
2001-06-30, 372.90
2001-07-07, 372.29
2001-07-14, 371.51
2001-07-21, 371.36
2001-07-28, 370.76
2001-08-04, 370.07
2001-08-11, 369.70
2001-08-18, 369.43
2001-08-25, 369.15
2001-09-01, 368.61
2001-09-08, 368.34
2001-09-15, 368.18
2001-09-22, 367.61
2001-09-29, 367.56
2001-10-06, 367.93
2001-10-13, 367.73
2001-10-20, 368.23
2001-10-27, 368.92
2001-11-03, 368.87
2001-11-10, 369.03
2001-11-17, 369.84
2001-11-24, 370.44
2001-12-01, 370.51
2001-12-08, 371.03
2001-12-15, 371.34
2001-12-22, 371.51
2001-12-29, 371.67
2002-01-05, 371.94
2002-01-12, 372.26
2002-01-19, 373.04
2002-01-26, 372.46
2002-02-02, 372.85
2002-02-09, 372.93
2002-02-16, 372.84
2002-02-23, 373.40
2002-03-02, 373.29
2002-03-09, 373.47
2002-03-16, 373.37
2002-03-23, 373.51
2002-03-30, 374.29
2002-04-06, 374.50
2002-04-13, 374.55
2002-04-20, 375.06
2002-04-27, 375.47
2002-05-04, 375.78
2002-05-11, 374.95
2002-05-18, 375.24
2002-05-25, 375.92
2002-06-01, 375.78
2002-06-08, 375.66
2002-06-15, 375.12
2002-06-22, 375.50
2002-06-29, 374.47
2002-07-06, 374.62
2002-07-13, 374.13
2002-07-20, 373.68
2002-07-27, 373.16
2002-08-03, 372.93
2002-08-10, 371.73
2002-08-17, 371.03
2002-08-24, 370.87
2002-08-31, 370.12
2002-09-07, 371.39
2002-09-14, 371.16
2002-09-21, 370.45
2002-09-28, 369.97
2002-10-05, 369.68
2002-10-12, 370.04
2002-10-19, 371.06
2002-10-26, 370.44
2002-11-02, 371.67
2002-11-09, 371.55
2002-11-16, 372.08
2002-11-23, 372.69
2002-11-30, 372.65
2002-12-07, 373.32
2002-12-14, 373.44
2002-12-21, 374.16
2002-12-28, 374.60
2003-01-04, 374.49
2003-01-11, 374.46
2003-01-18, 374.82
2003-01-25, 374.89
2003-02-01, 375.23
2003-02-08, 374.81
2003-02-15, 375.70
2003-02-22, 376.36
2003-03-01, 375.82
2003-03-08, 375.89
2003-03-15, 375.76
2003-03-22, 376.44
2003-03-29, 376.82
2003-04-05, 376.81
2003-04-12, 377.30
2003-04-19, 378.11
2003-04-26, 378.46
2003-05-03, 378.11
2003-05-10, 377.49
2003-05-17, 378.79
2003-05-24, 378.71
2003-05-31, 378.29
2003-06-07, 378.39
2003-06-21, 377.34
2003-06-28, 377.85
2003-07-05, 376.43
2003-07-12, 377.05
2003-07-19, 376.70
2003-07-26, 375.98
2003-08-02, 375.48
2003-08-09, 374.67
2003-08-16, 374.06
2003-08-23, 374.47
2003-08-30, 373.48
2003-09-06, 373.09
2003-09-13, 372.76
2003-09-20, 373.08
2003-09-27, 373.03
2003-10-04, 372.87
2003-10-25, 373.33
2003-11-01, 373.50
2003-11-08, 373.76
2003-11-15, 374.45
2003-11-22, 375.21
2003-11-29, 374.72
2003-12-06, 374.47
2003-12-13, 376.15
2003-12-20, 376.05
2003-12-27, 376.43
2004-01-03, 376.17
2004-01-10, 376.17
2004-01-17, 377.01
2004-01-24, 377.29
2004-01-31, 377.49
2004-02-07, 377.47
2004-02-14, 377.00
2004-02-21, 377.35
2004-02-28, 377.67
2004-03-06, 378.05
2004-03-13, 379.40
2004-03-20, 378.47
2004-03-27, 378.50
2004-04-03, 380.09
2004-04-10, 380.41
2004-04-17, 380.56
2004-04-24, 380.71
2004-05-01, 380.28
2004-05-08, 381.04
2004-05-15, 380.51
2004-05-22, 380.33
2004-05-29, 380.66
2004-06-05, 379.62
2004-06-12, 380.00
2004-06-19, 379.30
2004-06-26, 379.07
2004-07-03, 378.44
2004-07-10, 378.04
2004-07-17, 377.33
2004-07-24, 376.99
2004-07-31, 377.35
2004-08-07, 376.56
2004-08-14, 375.84
2004-08-21, 375.70
2004-08-28, 374.62
2004-09-04, 373.82
2004-09-11, 374.57
2004-09-18, 374.14
2004-09-25, 373.80
2004-10-02, 374.01
2004-10-09, 373.95
2004-10-16, 374.05
2004-10-23, 374.58
2004-10-30, 375.02
2004-11-06, 375.06
2004-11-13, 376.13
2004-11-20, 376.46
2004-11-27, 376.13
2004-12-04, 377.09
2004-12-11, 377.37
2004-12-18, 377.50
2004-12-25, 377.68
2005-01-01, 378.06
2005-01-08, 378.21
2005-01-15, 378.36
2005-01-22, 378.34
2005-01-29, 378.66
2005-02-05, 379.02
2005-02-12, 379.31
2005-02-19, 380.25
2005-03-26, 380.57
2005-04-02, 382.07
2005-04-09, 382.25
2005-04-16, 381.35
2005-04-23, 382.08
2005-04-30, 382.38
2005-05-07, 381.51
2005-05-14, 382.53
2005-05-21, 382.14
2005-05-28, 382.58
2005-06-04, 382.36
2005-06-11, 382.31
2005-06-18, 382.12
2005-06-25, 381.48
2005-07-02, 381.15
2005-07-09, 380.90
2005-07-16, 380.63
2005-07-23, 380.36
2005-07-30, 379.86
2005-08-06, 379.21
2005-08-13, 378.97
2005-08-20, 378.40
2005-08-27, 377.69
2005-09-03, 377.82
2005-09-10, 376.33
2005-09-17, 376.14
2005-09-24, 375.95
2005-10-01, 376.33
2005-10-08, 376.44
2005-10-15, 377.12
2005-10-22, 377.31
2005-10-29, 377.24
2005-11-05, 377.76
2005-11-12, 378.07
2005-11-19, 378.75
2005-11-26, 378.77
2005-12-03, 379.41
2005-12-10, 380.09
2005-12-17, 380.09
2005-12-24, 380.14
2005-12-31, 380.43
2006-01-07, 381.28
2006-01-14, 381.41
2006-01-21, 381.57
2006-01-28, 381.47
2006-02-04, 382.04
2006-02-25, 381.86
2006-03-04, 382.39
2006-03-11, 382.55
2006-03-18, 382.74
2006-03-25, 382.55
2006-04-01, 382.97
2006-04-08, 384.65
2006-04-15, 384.67
2006-04-22, 384.71
2006-04-29, 384.62
2006-05-06, 384.91
2006-05-13, 384.87
2006-05-20, 385.34
2006-05-27, 384.30
2006-06-03, 384.29
2006-06-10, 384.31
2006-06-17, 384.07
2006-06-24, 383.55
2006-07-01, 383.00
2006-07-08, 382.78
2006-07-15, 381.28
2006-07-22, 381.81
2006-07-29, 381.55
2006-08-05, 381.22
2006-08-12, 380.63
2006-08-19, 380.20
2006-08-26, 379.77
2006-09-02, 379.52
2006-09-09, 378.66
2006-09-16, 378.80
2006-09-23, 378.49
2006-09-30, 379.00
2006-10-07, 378.78
2006-10-14, 379.14
2006-10-21, 379.22
2006-10-28, 379.57
2006-11-04, 379.67
2006-11-11, 379.81
2006-11-18, 379.98
2006-11-25, 381.42
2006-12-02, 381.31
2006-12-09, 381.60
2006-12-16, 381.81
2006-12-23, 381.96
2006-12-30, 381.76
2007-01-06, 382.64
2007-01-13, 382.36
2007-01-20, 381.84
2007-02-03, 383.09
2007-02-10, 383.60
2007-02-17, 384.22
2007-02-24, 383.76
2007-03-03, 383.71
2007-03-10, 383.64
2007-03-17, 384.28
2007-03-24, 384.96
2007-03-31, 385.93
2007-04-07, 385.46
2007-04-14, 386.30
2007-04-21, 387.00
2007-04-28, 386.42
2007-05-05, 385.85
2007-05-12, 386.54
2007-05-19, 386.03
2007-05-26, 386.93
2007-06-02, 386.60
2007-06-09, 386.23
2007-06-16, 386.29
2007-06-23, 384.95
2007-06-30, 384.85
2007-07-07, 384.92
2007-07-14, 384.75
2007-07-21, 383.97
2007-07-28, 383.41
2007-08-04, 382.51
2007-08-11, 381.72
2007-08-18, 381.60
2007-08-25, 381.67
2007-09-01, 381.69
2007-09-08, 380.74
2007-09-15, 380.75
2007-09-22, 380.94
2007-09-29, 380.80
2007-10-06, 380.68
2007-10-13, 380.68
2007-10-20, 381.10
2007-10-27, 381.36
2007-11-03, 381.76
2007-11-10, 381.92
2007-11-17, 382.43
2007-11-24, 382.91
2007-12-01, 382.90
2007-12-08, 383.31
2007-12-15, 383.79
2007-12-22, 383.90
2007-12-29, 384.04
2008-01-05, 384.36
2008-01-12, 384.41
2008-01-19, 385.47
2008-01-26, 386.06
2008-02-02, 386.19
2008-02-09, 385.72
2008-02-16, 385.58
2008-02-23, 385.24
2008-03-01, 384.88
2008-03-08, 385.88
2008-03-15, 385.64
2008-03-22, 386.17
2008-03-29, 386.70
2008-04-05, 388.00
2008-04-12, 385.90
2008-04-19, 386.38
2008-04-26, 387.19
2008-05-03, 386.94
2008-05-10, 388.90
2008-05-17, 388.84
2008-05-24, 388.53
2008-05-31, 388.48
2008-06-07, 388.16
2008-06-14, 387.79
2008-06-21, 387.54
2008-06-28, 388.11
2008-07-05, 387.08
2008-07-12, 386.11
2008-07-19, 385.73
2008-07-26, 385.96
2008-08-02, 384.91
2008-08-09, 384.68
2008-08-16, 383.89
2008-08-23, 383.55
2008-08-30, 383.16
2008-09-06, 383.18
2008-09-13, 383.37
2008-09-20, 382.98
2008-09-27, 382.92
2008-10-04, 382.66
2008-10-11, 382.72
2008-10-18, 382.96
2008-10-25, 382.94
2008-11-01, 383.61
2008-11-08, 383.60
2008-11-15, 384.03
2008-11-22, 384.32
2008-11-29, 384.46
2008-12-06, 384.77
2008-12-13, 384.89
2008-12-20, 385.15
2008-12-27, 385.80
2009-01-03, 386.01
2009-01-10, 386.53
2009-01-17, 386.64
2009-01-24, 387.05
2009-01-31, 387.26
2009-02-07, 386.51
2009-02-14, 387.44
2009-02-21, 387.40
2009-02-28, 387.48
2009-03-07, 388.54
2009-03-14, 388.64
2009-03-21, 388.44
2009-03-28, 389.17
2009-04-04, 389.39
2009-04-11, 389.74
2009-04-18, 388.67
2009-04-25, 390.37
2009-05-02, 390.16
2009-05-09, 389.87
2009-05-16, 390.30
2009-05-23, 390.76
2009-05-30, 389.35
2009-06-06, 390.46
2009-06-13, 390.01
2009-06-20, 388.88
2009-06-27, 388.72
2009-07-04, 388.30
2009-07-11, 388.68
2009-07-18, 388.03
2009-07-25, 387.48
2009-08-01, 387.16
2009-08-08, 386.67
2009-08-15, 385.27
2009-08-22, 386.05
2009-08-29, 385.65
2009-09-05, 385.30
2009-09-12, 384.48
2009-09-19, 384.61
2009-09-26, 384.51
2009-10-03, 383.43
2009-10-10, 384.28
2009-10-17, 384.55
2009-10-24, 384.79
2009-10-31, 385.18
2009-11-07, 385.60
2009-11-14, 386.09
2009-11-21, 386.31
2009-11-28, 386.73
2009-12-05, 386.91
2009-12-12, 386.81
2009-12-19, 388.04
2009-12-26, 388.19
2010-01-02, 388.41
2010-01-09, 388.17
2010-01-16, 388.69
2010-01-23, 388.59
2010-01-30, 389.04
2010-02-06, 390.91
2010-02-13, 389.78
2010-02-20, 390.84
2010-02-27, 389.38
2010-03-06, 391.07
2010-03-13, 391.37
2010-03-20, 391.55
2010-03-27, 390.08
2010-04-03, 391.15
2010-04-10, 391.60
2010-04-17, 393.27
2010-04-24, 393.27
2010-05-01, 392.99
2010-05-08, 392.97
2010-05-15, 393.13
2010-05-22, 393.55
2010-05-29, 393.02
2010-06-05, 393.08
2010-06-12, 392.35
2010-06-19, 391.73
2010-06-26, 391.46
2010-07-03, 391.01
2010-07-10, 390.20
2010-07-17, 389.91
2010-07-24, 390.12
2010-07-31, 389.49
2010-08-07, 389.06
2010-08-14, 388.76
2010-08-21, 388.12
2010-08-28, 387.42
2010-09-04, 386.91
2010-09-11, 386.85
2010-09-18, 386.97
2010-09-25, 386.87
2010-10-02, 386.75
2010-10-09, 386.98
2010-10-16, 387.03
2010-10-23, 387.80
2010-10-30, 387.78
2010-11-06, 387.95
2010-11-13, 388.27
2010-11-20, 389.11
2010-11-27, 389.59
2010-12-04, 389.88
2010-12-11, 389.75
2010-12-18, 389.58
2010-12-25, 389.96
2011-01-01, 390.50
2011-01-08, 391.61
2011-01-15, 391.06
2011-01-22, 391.25
2011-01-29, 392.00
2011-02-05, 391.89
2011-02-12, 391.52
2011-02-19, 391.82
2011-02-26, 392.50
2011-03-05, 391.59
2011-03-12, 391.94
2011-03-19, 392.43
2011-03-26, 394.11
2011-04-02, 393.40
2011-04-09, 392.71
2011-04-16, 393.73
2011-04-23, 393.22
2011-04-30, 393.59
2011-05-07, 393.36
2011-05-14, 393.84
2011-05-21, 395.12
2011-05-28, 394.49
2011-06-04, 394.08
2011-06-11, 393.42
2011-06-18, 393.92
2011-06-25, 393.37
2011-07-02, 393.31
2011-07-09, 393.61
2011-07-16, 392.64
2011-07-23, 391.13
2011-07-30, 391.77
2011-08-06, 390.76
2011-08-13, 390.53
2011-08-20, 389.82
2011-08-27, 389.41
2011-09-03, 389.23
2011-09-10, 389.17
2011-09-17, 389.15
2011-09-24, 388.86
2011-10-01, 388.91
2011-10-08, 388.74
2011-10-15, 388.91
2011-10-22, 389.09
2011-10-29, 389.45
2011-11-05, 389.64
2011-11-12, 390.24
2011-11-19, 390.44
2011-11-26, 390.77
2011-12-03, 391.08
2011-12-10, 391.70
2011-12-17, 392.24
2011-12-24, 392.09
2011-12-31, 392.26
2012-01-07, 392.92
2012-01-14, 393.61
2012-01-21, 393.04
2012-01-28, 393.03
2012-02-04, 392.43
2012-02-11, 393.45
2012-02-18, 393.97
2012-02-25, 393.62
2012-03-03, 394.17
2012-03-10, 393.38
2012-03-17, 394.79
2012-03-24, 395.15
2012-03-31, 394.91
2012-04-07, 396.45
2012-04-14, 396.38
2012-04-21, 396.56
2012-04-28, 396.70
2012-05-05, 397.08
2012-05-12, 397.28
2012-05-19, 396.56
2012-05-26, 396.28
2012-06-02, 396.03
2012-06-09, 396.02
2012-06-16, 395.86
2012-06-23, 395.73
2012-06-30, 395.41
2012-07-07, 394.86
2012-07-14, 394.59
2012-07-21, 394.35
2012-07-28, 393.60
2012-08-04, 393.39
2012-08-11, 392.93
2012-08-18, 392.31
2012-08-25, 391.70
2012-09-01, 391.98
2012-09-08, 391.00
2012-09-15, 391.03
2012-09-22, 391.02
2012-09-29, 390.99
2012-10-20, 391.29
2012-10-27, 391.46
2012-11-03, 391.76
2012-11-10, 392.77
2012-11-17, 393.42
2012-11-24, 393.36
2012-12-01, 393.61
2012-12-08, 394.05
2012-12-15, 394.46
2012-12-22, 394.83
2012-12-29, 394.62
2013-01-05, 394.99
2013-01-12, 395.57
2013-01-19, 396.21
2013-01-26, 395.64
2013-02-02, 396.39
2013-02-09, 396.46
2013-02-16, 397.31
2013-02-23, 396.88
2013-03-02, 397.13
2013-03-09, 396.64
2013-03-16, 397.25
2013-03-23, 397.21
2013-03-30, 398.39
2013-04-06, 398.05
2013-04-13, 397.43
2013-04-20, 398.76
2013-04-27, 399.33
2013-05-04, 399.64
2013-05-11, 399.78
2013-05-18, 400.04
2013-05-25, 400.22
2013-06-01, 399.43
2013-06-08, 398.91
2013-06-15, 398.58
2013-06-22, 398.50
2013-06-29, 398.65
2013-07-06, 397.56
2013-07-13, 397.48
2013-07-20, 396.83
2013-07-27, 396.98
2013-08-03, 396.61
2013-08-10, 395.55
2013-08-17, 395.24
2013-08-24, 394.73
2013-08-31, 394.33
2013-09-07, 393.52
2013-09-14, 393.25
2013-09-21, 393.53
2013-09-28, 393.22
2013-10-05, 393.47
2013-10-12, 393.52
2013-10-19, 393.93
2013-10-26, 394.13
2013-11-02, 394.39
2013-11-09, 395.25
2013-11-16, 394.85
2013-11-23, 395.66
2013-11-30, 396.06
2013-12-07, 396.27
2013-12-14, 396.52
2013-12-21, 397.30
2013-12-28, 397.59
2014-01-04, 397.90
2014-01-11, 397.82
2014-01-18, 398.13
2014-01-25, 397.75
2014-02-01, 398.02
2014-02-08, 397.98
2014-02-15, 397.79
2014-02-22, 398.24
2014-03-01, 397.92
2014-03-08, 398.88
2014-03-15, 400.68
2014-03-22, 399.62
2014-03-29, 400.34
2014-04-05, 401.32
2014-04-12, 401.22
2014-04-19, 401.29
2014-04-26, 401.42
2014-05-03, 401.74
2014-05-10, 401.51
2014-05-17, 402.18
2014-05-24, 401.44
2014-05-31, 402.12
2014-06-07, 401.55
2014-06-14, 401.31
2014-06-21, 401.21
2014-06-28, 400.57
2014-07-05, 400.06
2014-07-12, 399.58
2014-07-19, 398.54
2014-07-26, 397.86
2014-08-02, 397.86
2014-08-09, 397.45
2014-08-16, 397.23
2014-08-23, 396.75
2014-08-30, 396.37
2014-09-06, 396.35
2014-09-13, 394.80
2014-09-20, 395.32
2014-09-27, 395.55
2014-10-04, 395.57
2014-10-11, 395.49
2014-10-18, 395.72
2014-10-25, 395.91
2014-11-01, 396.52
2014-11-08, 396.90
2014-11-15, 397.34
2014-11-22, 397.24
2014-11-29, 398.10
2014-12-06, 398.26
2014-12-13, 398.92
2014-12-20, 399.09
2014-12-27, 399.01
2015-01-03, 399.92
2015-01-10, 399.86
2015-01-17, 399.72
2015-01-24, 399.98
2015-01-31, 400.20
2015-02-07, 400.02
2015-02-14, 400.15
2015-02-21, 400.36
2015-02-28, 401.03
2015-03-07, 401.63
2015-03-14, 401.80
2015-03-21, 400.79
2015-03-28, 402.50
2015-04-04, 402.74
2015-04-11, 403.88
2015-04-18, 403.80
2015-04-25, 403.22
2015-05-02, 404.07
2015-05-09, 404.09
2015-05-16, 404.31
2015-05-23, 403.85
2015-05-30, 403.81
2015-06-06, 403.45
2015-06-13, 402.72
2015-06-20, 402.63
2015-06-27, 402.36
2015-07-04, 402.25
2015-07-11, 401.71
2015-07-18, 401.02
2015-07-25, 401.30
2015-08-01, 398.74
2015-08-08, 399.21
2015-08-15, 399.12
2015-08-22, 399.03
2015-08-29, 398.80
2015-09-05, 398.16
2015-09-12, 397.10
2015-09-19, 397.57
2015-09-26, 397.42
2015-10-03, 397.74
2015-10-10, 398.51
2015-10-17, 398.61
2015-10-24, 398.43
2015-10-31, 398.87
2015-11-07, 399.53
2015-11-14, 400.75
2015-11-21, 400.42
2015-11-28, 400.83
2015-12-05, 400.91
2015-12-12, 402.40
2015-12-19, 402.32
2015-12-26, 402.01
2016-01-02, 402.25
2016-01-09, 402.23
2016-01-16, 402.68
2016-01-23, 403.26
2016-01-30, 402.79
2016-02-06, 404.98
2016-02-13, 403.22
2016-02-20, 404.59
2016-02-27, 403.98
2016-03-05, 403.99
2016-03-12, 404.51
2016-03-19, 405.01
2016-03-26, 406.16
2016-04-02, 405.70
2016-04-09, 408.56
2016-04-16, 408.16
2016-04-23, 407.70
2016-04-30, 407.84
2016-05-07, 407.51
2016-05-14, 407.54
2016-05-21, 407.41
2016-05-28, 407.92
2016-06-04, 407.52
2016-06-11, 406.99
2016-06-18, 407.02
2016-06-25, 406.40
2016-07-02, 405.96
2016-07-09, 404.93
2016-07-16, 403.64
2016-07-23, 403.71
2016-07-30, 403.76
2016-08-06, 403.22
2016-08-13, 402.11
2016-08-20, 401.78
2016-08-27, 401.43
2016-09-03, 401.27
2016-09-10, 401.13
2016-09-17, 401.25
2016-09-24, 400.85
2016-10-01, 400.82
2016-10-08, 401.20
2016-10-15, 401.70
2016-10-22, 401.82
2016-10-29, 402.38
2016-11-05, 403.15
2016-11-12, 403.12
2016-11-19, 403.95
2016-11-26, 404.44
2016-12-03, 404.16
2016-12-10, 404.28
2016-12-17, 404.63
2016-12-24, 404.66
2016-12-31, 405.38
2017-01-07, 405.94
2017-01-14, 405.91
2017-01-21, 406.37
2017-01-28, 406.35
2017-02-04, 406.20
2017-02-11, 406.02
2017-02-18, 406.17
2017-02-25, 408.07
2017-03-04, 407.06
2017-03-11, 406.53
2017-03-18, 406.73
2017-03-25, 407.89
2017-04-01, 408.66
2017-04-08, 407.19
2017-04-15, 409.12
2017-04-22, 409.89
2017-04-29, 409.04
2017-05-06, 409.54
2017-05-13, 409.83
2017-05-20, 410.18
2017-05-27, 409.88
2017-06-03, 409.67
2017-06-10, 409.62
2017-06-17, 408.82
2017-06-24, 408.43
2017-07-01, 407.77
2017-07-08, 407.68
2017-07-15, 407.11
2017-07-22, 406.76
2017-07-29, 406.50
2017-08-05, 405.93
2017-08-12, 405.55
2017-08-19, 404.81
2017-08-26, 404.54
2017-09-02, 404.10
2017-09-09, 403.39
2017-09-16, 403.44
2017-09-23, 402.95
2017-09-30, 402.73
2017-10-07, 403.19
2017-10-14, 403.60
2017-10-21, 404.05
2017-10-28, 404.25
2017-11-04, 404.28
2017-11-11, 404.51
2017-11-18, 405.53
2017-11-25, 406.36
2017-12-02, 406.85
2017-12-09, 406.16
2017-12-16, 406.50
2017-12-23, 407.07
2017-12-30, 407.24
2018-01-06, 407.96
2018-01-13, 408.08
2018-01-20, 408.26
2018-01-27, 408.05
2018-02-03, 407.63
2018-02-10, 408.41
2018-02-17, 408.46
2018-02-24, 408.69
2018-03-03, 408.77
2018-03-10, 409.64
2018-03-17, 408.69
2018-03-24, 409.77
2018-03-31, 409.63
2018-04-07, 409.41
2018-04-14, 410.10
2018-04-21, 411.36
2018-04-28, 410.58
2018-05-05, 409.75
2018-05-12, 411.62
2018-05-19, 411.43
2018-05-26, 411.81
2018-06-02, 411.15
2018-06-09, 411.24
2018-06-16, 410.56
2018-06-23, 410.81
2018-06-30, 410.19
2018-07-07, 409.29
2018-07-14, 409.07
2018-07-21, 408.49
2018-07-28, 408.08
2018-08-04, 407.36
2018-08-11, 407.28
2018-08-18, 407.07
2018-08-25, 406.63
2018-09-01, 405.98
2018-09-08, 405.61
2018-09-15, 405.60
2018-09-22, 405.69
2018-09-29, 405.56
2018-10-06, 405.56
2018-10-13, 405.91
2018-10-20, 406.42
2018-10-27, 406.51
2018-11-03, 406.83
2018-11-10, 407.69
2018-11-17, 409.11
2018-11-24, 408.46
2018-12-01, 408.56
2018-12-08, 408.92
2018-12-15, 409.56
2018-12-22, 409.73
2018-12-29, 409.26
2019-01-05, 410.32
2019-01-12, 409.73
2019-01-19, 412.31
2019-01-26, 410.91
2019-02-02, 410.97
2019-02-09, 412.12
2019-02-16, 411.79
2019-02-23, 411.46
2019-03-02, 412.08
2019-03-09, 412.26
2019-03-16, 412.87
2019-03-23, 410.73
2019-03-30, 412.37
2019-04-06, 412.62
2019-04-13, 413.36
2019-04-20, 413.94
2019-04-27, 414.27
